2026-06-30 14:49:16.796 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:16.863 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:17.586 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:17.596 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:18.100 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:18.118 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:18.670 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:18.680 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:19.226 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:19.240 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:19.251 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:19.694 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:19.706 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:20.161 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:20.173 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:20.635 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:20.647 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:21.156 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:21.166 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:21.617 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:21.628 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:22.125 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
2026-06-30 14:49:22.136 | ERROR    | app.main:unhandled_exception_handler:79 - Unhandled exception on POST /api/v1/auth/register: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-06-30 14:49:22.593 | INFO     | app.main:on_startup:91 - EcoVision AI starting up in 'development' mode.
